Summary data collected by the Greenhouse Gas Reporting Program for 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 08/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,Total Direct Emissions from Transmission Pipelines by Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,State where Emissions Occur,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported direct emissions from Transmission Pipelines,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012420,110070082278,Algonquin Gas Transmission L.L.C.,Massachusetts,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,337.40,0.40,337.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012420,110070082278,Algonquin Gas Transmission L.L.C.,New York,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,39.50,,39.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012420,110070082278,Algonquin Gas Transmission L.L.C.,New Jersey,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,9.75,,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012420,110070082278,Algonquin Gas Transmission L.L.C.,Rhode Island,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,83.60,0.10,83.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012420,110070082278,Algonquin Gas Transmission L.L.C.,Connecticut,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,"1,036.70",1.20,"1,035.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013856,,Atmos Pipeline Texas,Texas,Dallas,TX,75240,5430 LBJ Freeway,,32.9231523033486,-96.8180156097205,486210,W-TRANS,"84,077.62",218.80,"83,858.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010455,110059765384,"DCP Midstream, LP",Texas,Denver,CO,80202,"370 17th Street, Suite 2500",DENVER COUNTY,39.74369,-104.98777,211130,"MM-EXP,W-TRANS","3,135.46",3.61,"3,131.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010455,110059765384,"DCP Midstream, LP",Oklahoma,Denver,CO,80202,"370 17th Street, Suite 2500",DENVER COUNTY,39.74369,-104.98777,211130,"MM-EXP,W-TRANS","1,405.60",1.60,"1,404.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010455,110059765384,"DCP Midstream, LP",New Mexico,Denver,CO,80202,"370 17th Street, Suite 2500",DENVER COUNTY,39.74369,-104.98777,211130,"MM-EXP,W-TRANS",10.01,0.01,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013773,110004647142,Dominion Energy Ohio - Transmission Pipelines (TPL),Ohio,Cleveland,OH,44103,1201 East 55th Street,CUYAHOGA COUNTY,41.52712,-81.652,221210,W-TRANS,"8,104.61",9.34,"8,095.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012979,110043783064,Dominion Energy Questar - Transmission Pipelines (TPL),Utah,Salt Lake City,UT,84101,1140 West 200 South,SALT LAKE COUNTY,40.76497,-111.92439,486210,W-TRANS,"1,898.69",2.19,"1,896.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012979,110043783064,Dominion Energy Questar - Transmission Pipelines (TPL),Colorado,Salt Lake City,UT,84101,1140 West 200 South,SALT LAKE COUNTY,40.76497,-111.92439,486210,W-TRANS,8.67,0.01,8.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012979,110043783064,Dominion Energy Questar - Transmission Pipelines (TPL),Wyoming,Salt Lake City,UT,84101,1140 West 200 South,SALT LAKE COUNTY,40.76497,-111.92439,486210,W-TRANS,"2,400.12",2.77,"2,397.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013663,110070716075,EGT Arkansas,Arkansas,Oklahoma City,OK,73100,"499 W. Sheridan, Suite 1500",OKLAHOMA COUNTY,35.46646,-97.52124,486210,W-TRANS,"29,838.40",34.40,"29,804.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013059,110070209449,EGT Kansas,Kansas,Oklahoma City,OK,73100,"499 W. Sheridan, Suite 1500",OKLAHOMA COUNTY,35.46646,-97.52124,486210,W-TRANS,0.01,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013062,110070209467,EGT Texas,Texas,Oklahoma City,OK,73100,"499 W. Sheridan, Suite 1500",OKLAHOMA COUNTY,35.46646,-97.52124,486210,W-TRANS,"21,424.97",24.69,"21,400.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013050,110070209514,EOIT Oklahoma,Oklahoma,Oklahoma City,OK,73100,"499 W. Sheridan, Suite 1500",OKLAHOMA COUNTY,35.46646,-97.52124,486210,W-TRANS,"29,417.36",33.89,"29,383.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012139,110070082167,Eastern Gas Transmission and Storage - Transmission Pipelines (TPL),West Virginia,Bridgeport,WV,26330,925 White Oaks Blvd,HARRISON COUNTY,39.33367,-80.23478,486210,W-TRANS,"26,431.87",30.45,"26,401.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012139,110070082167,Eastern Gas Transmission and Storage - Transmission Pipelines (TPL),Virginia,Bridgeport,WV,26330,925 White Oaks Blvd,HARRISON COUNTY,39.33367,-80.23478,486210,W-TRANS,"1,288.94",1.49,"1,287.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012139,110070082167,Eastern Gas Transmission and Storage - Transmission Pipelines (TPL),Ohio,Bridgeport,WV,26330,925 White Oaks Blvd,HARRISON COUNTY,39.33367,-80.23478,486210,W-TRANS,"3,681.93",4.24,"3,677.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012139,110070082167,Eastern Gas Transmission and Storage - Transmission Pipelines (TPL),Pennsylvania,Bridgeport,WV,26330,925 White Oaks Blvd,HARRISON COUNTY,39.33367,-80.23478,486210,W-TRANS,"20,589.71",23.72,"20,565.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012139,110070082167,Eastern Gas Transmission and Storage - Transmission Pipelines (TPL),Maryland,Bridgeport,WV,26330,925 White Oaks Blvd,HARRISON COUNTY,39.33367,-80.23478,486210,W-TRANS,18.41,0.02,18.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012139,110070082167,Eastern Gas Transmission and Storage - Transmission Pipelines (TPL),New York,Bridgeport,WV,26330,925 White Oaks Blvd,HARRISON COUNTY,39.33367,-80.23478,486210,W-TRANS,"13,314.34",15.34,"13,298.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012829,110070082522,Enbridge - Vector Transmission Pipeline Segment,Michigan,Houston,TX,77002,"1100 Louisiana Street, Suite 3300",HARRIS COUNTY,29.7574,-95.36843,486210,W-TRANS,33.13,0.02,33.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012699,110070082450,"Equitrans, LP - Transmission Pipeline",West Virginia,Pittsburgh,PA,15222,"625 Liberty Avenue, Suite 1700",ALLEGHENY COUNTY,40.442188,-80.000854,486210,W-TRANS,523.76,0.15,523.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012699,110070082450,"Equitrans, LP - Transmission Pipeline",Pennsylvania,Pittsburgh,PA,15222,"625 Liberty Avenue, Suite 1700",ALLEGHENY COUNTY,40.442188,-80.000854,486210,W-TRANS,"4,977.29",1.42,"4,975.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012775,110070082493,Gulf South Pipeline Blowdowns,Texas,Houston,TX,77046,"9 Greenway Plaza, Suite 2800",HARRIS COUNTY,29.73177,-95.43444,486210,W-TRANS,"5,300.61",6.11,"5,294.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012775,110070082493,Gulf South Pipeline Blowdowns,Louisiana,Houston,TX,77046,"9 Greenway Plaza, Suite 2800",HARRIS COUNTY,29.73177,-95.43444,486210,W-TRANS,"19,431.14",22.39,"19,408.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012775,110070082493,Gulf South Pipeline Blowdowns,Mississippi,Houston,TX,77046,"9 Greenway Plaza, Suite 2800",HARRIS COUNTY,29.73177,-95.43444,486210,W-TRANS,"7,896.85",9.10,"7,887.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013893,,MRT Louisiana,Louisiana,Oklahoma City,OK,73100,"499 W. Sheridan, Suite 1500",,35.4669788043351,-97.5204836889118,486210,W-TRANS,"44,859.95",51.69,"44,808.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012732,110070082469,Northern Natural Gas - Transmission Pipeline,Texas,Omaha,NE,68124,1111 S. 103rd Street,DOUGLAS COUNTY,41.24817,-96.07309,486210,W-TRANS,"9,049.69",3.94,"9,045.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012732,110070082469,Northern Natural Gas - Transmission Pipeline,Iowa,Omaha,NE,68124,1111 S. 103rd Street,DOUGLAS COUNTY,41.24817,-96.07309,486210,W-TRANS,"17,285.93",19.93,"17,266.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012732,110070082469,Northern Natural Gas - Transmission Pipeline,Nebraska,Omaha,NE,68124,1111 S. 103rd Street,DOUGLAS COUNTY,41.24817,-96.07309,486210,W-TRANS,"52,111.01",54.26,"52,056.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012732,110070082469,Northern Natural Gas - Transmission Pipeline,Kansas,Omaha,NE,68124,1111 S. 103rd Street,DOUGLAS COUNTY,41.24817,-96.07309,486210,W-TRANS,"44,072.54",17.54,"44,055.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012732,110070082469,Northern Natural Gas - Transmission Pipeline,Oklahoma,Omaha,NE,68124,1111 S. 103rd Street,DOUGLAS COUNTY,41.24817,-96.07309,486210,W-TRANS,"10,879.33",5.58,"10,873.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012732,110070082469,Northern Natural Gas - Transmission Pipeline,New Mexico,Omaha,NE,68124,1111 S. 103rd Street,DOUGLAS COUNTY,41.24817,-96.07309,486210,W-TRANS,44.00,,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012732,110070082469,Northern Natural Gas - Transmission Pipeline,Michigan,Omaha,NE,68124,1111 S. 103rd Street,DOUGLAS COUNTY,41.24817,-96.07309,486210,W-TRANS,"1,442.36",1.36,"1,441.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012732,110070082469,Northern Natural Gas - Transmission Pipeline,Minnesota,Omaha,NE,68124,1111 S. 103rd Street,DOUGLAS COUNTY,41.24817,-96.07309,486210,W-TRANS,"11,424.37",14.12,"11,410.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012732,110070082469,Northern Natural Gas - Transmission Pipeline,Wisconsin,Omaha,NE,68124,1111 S. 103rd Street,DOUGLAS COUNTY,41.24817,-96.07309,486210,W-TRANS,"3,772.91",4.41,"3,768.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012732,110070082469,Northern Natural Gas - Transmission Pipeline,South Dakota,Omaha,NE,68124,1111 S. 103rd Street,DOUGLAS COUNTY,41.24817,-96.07309,486210,W-TRANS,615.48,0.73,614.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013340,110070525503,Northwest Pipeline GP - Pipeline,Washington,Tulsa,OK,74172,One Williams Center,WAGONER COUNTY,36.08256,-95.67245,486210,W-TRANS,"5,025.97",5.79,"5,020.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013340,110070525503,Northwest Pipeline GP - Pipeline,Idaho,Tulsa,OK,74172,One Williams Center,WAGONER COUNTY,36.08256,-95.67245,486210,W-TRANS,"14,560.97",16.78,"14,544.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013109,110054114702,"ONEOK Gas Transportation, L.L.C.",Oklahoma,Tulsa,OK,74103,100 West Fifth Street,TULSA COUNTY,36.15106,-95.99127,486210,W-TRANS,"12,309.62",6.71,"12,302.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012662,110070082427,PG&E Transmission Blowdown,California,San Francisco,CA,94105,77 Beale Street,,37.7890183,-122.3915063,221210,W-TRANS,"113,329.44",105.41,"113,224.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012752,110070082481,Southern California Gas Co Transmission,California,Los Angeles,CA,90013,555 W. 5th Street,,34.043925,-118.2424291,486210,W-TRANS,"34,954.11",31.96,"34,922.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012587,110070082383,Southern Star Central Gas Pipeline,Missouri,Owensboro,KY,42304,4700 KY Highway 56 West,,37.7531071,-87.1796099,486210,W-TRANS,8.67,0.01,8.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012587,110070082383,Southern Star Central Gas Pipeline,Oklahoma,Owensboro,KY,42304,4700 KY Highway 56 West,,37.7531071,-87.1796099,486210,W-TRANS,"23,106.42",26.62,"23,079.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012587,110070082383,Southern Star Central Gas Pipeline,Kansas,Owensboro,KY,42304,4700 KY Highway 56 West,,37.7531071,-87.1796099,486210,W-TRANS,"28,538.40",32.88,"28,505.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012416,110012689082,"Texas Eastern Transmission, LP",Tennessee,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,78.35,0.10,78.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012416,110012689082,"Texas Eastern Transmission, LP",Maryland,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,"4,064.95",4.70,"4,060.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012416,110012689082,"Texas Eastern Transmission, LP",Arkansas,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,"14,055.70",16.20,"14,039.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012416,110012689082,"Texas Eastern Transmission, LP",Mississippi,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,"12,116.50",14.00,"12,102.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012416,110012689082,"Texas Eastern Transmission, LP",Alabama,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,159.20,0.20,159.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012416,110012689082,"Texas Eastern Transmission, LP",New Jersey,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,903.00,1.00,902.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012416,110012689082,"Texas Eastern Transmission, LP",Indiana,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,"4,197.80",4.80,"4,193.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012416,110012689082,"Texas Eastern Transmission, LP",Kentucky,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,"115,592.45",133.20,"115,459.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012416,110012689082,"Texas Eastern Transmission, LP",Texas,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,"4,120.95",4.70,"4,116.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012416,110012689082,"Texas Eastern Transmission, LP",Pennsylvania,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,"17,983.20",20.70,"17,962.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012416,110012689082,"Texas Eastern Transmission, LP",West Virginia,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,"15,613.00",18.00,"15,595.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012416,110012689082,"Texas Eastern Transmission, LP",Ohio,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,"2,960.40",3.40,"2,957.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012416,110012689082,"Texas Eastern Transmission, LP",Louisiana,Houston,TX,77056,5400 Westheimer Court,HARRIS COUNTY,29.74013,-95.47309,486210,W-TRANS,"1,193.90",1.40,"1,192.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
